smiles,affinity
CCOC(=O)CCNCC(=O)N1c2ccccc2CC1C(=O)NCCCOC,-5.76
COC(=O)c1sc(N2CCCC(C(=O)Nc3cccc(S(N)(=O)=O)c3)C2)nc1C,-8.18
CN1CN(c2ccccc2)C2(CCN(C3CCc4ccccc4C3)CC2)C1=O,-7.93
COc1ccc(-c2csc(Nc3ccc(-c4noc(CC5CCCN5C(=N)N)n4)cc3)n2)cc1C,-8.21
CCc1nc2ccc(C(=O)N3CCN(c4cccc(Cl)c4)CC3)cn2c1N(CC)Cc1cccc(-c2ccc(C(F)(F)F)cc2)c1,-8.68
COc1ccc(-c2cc(C)nc(C(=O)NN)n2)cc1,-6.51
COc1ccc(Cl)cc1-c1nnc(N=C(N)N2CCOCC2)s1,0.89
CCOC(=O)C1=C(Nc2ccccc2)C(=O)N(c2ccc(C)cc2)C1,-7.16
C=CCC(C)C(O)CC,-6.59
Cc1ccc(=O)n(CC2COC3(CCCCC3)O2)n1,-6.78
N#Cc1cc(-c2ccnc(Nc3cnn(CC(F)(F)F)c3)n2)cnc1N1CCC(F)C1,-7.37
O=C(O)c1cc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)cc(-n2cc(-c3ccc(C(F)(F)F)cc3)nn2)c1,-10.87
COC(=O)c1cnc2c(c1)c1ccccc1n2Cc1ccc(Cl)c(Cl)c1,-8.8
CC1CC(C)CN(S(=O)(=O)c2ccc(C(=O)N3CCOCC3)cc2)C1,-8.16
O=C(O)CCC(=O)N(CCCCN(Cc1ccccc1)C(=O)c1ccccc1)CCNc1ccnc2cc(Cl)ccc12,-8.62
CCc1cc(-c2ccnn2CC=Cc2ccc3c(c2)OCO3)no1,-8.26
O=C(c1ccco1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,-6.98
CCc1nnc2ccc(N3CCN(C(=O)C=Cc4ccc(Cl)c(Cl)c4)CC3)nn12,-8.79
Cc1cccc(C(=O)Nc2ccc(N3CCN(C(=O)c4ccc(Cl)c(Cl)c4)CC3)c(C(=O)N3CCc4ccccc4C3)c2)c1,-11.14
O=C(O)c1ccc(NC(=O)c2ccc(CCN3CCN(c4ccnc5ccoc45)CC3)cc2)cc1,-8.84
Cc1ncc([N+](=O)[O-])n1CCSc1nnc(-c2c[nH]c3ccccc23)o1,-8.04
CCC(=O)CCCCCC(NC(=O)C1CC12CCN(CC)CC2)c1ncc(-c2cc3ccccc3nc2Cl)[nH]1,-9.48
COc1ccccc1CNC(=O)Cc1ccccc1N(CC1CC1)CC1CC1,-8.06
CC(C)n1cc(CN2CCCC(c3nc(O)c4nnn(Cc5ccc(C(F)(F)F)cc5)c4n3)C2)cn1,-9.22
CCN(C)c1nc(-c2ccc(C(C)(C)C)cc2)c(Br)o1,-6.5
Cn1cc(-c2ccnc(NC(=O)c3ccccn3)c2)cn1,-7.07
Nc1cccc(C(=O)OC2CN3CCC2CC3)c1,-7.46
COc1ccc(C=CC(=O)OCC(=O)NCc2ccc(F)cc2)cc1O,-6.94
COC(=O)c1sc(NC(=S)Nc2ccc(F)cc2)nc1C,-6.62
CC(C)CC(=O)C=CC(=O)NCCc1ccc(O)cc1,-7.59
Cc1ccccc1C(OCC(O)(Cn1ccnc1)c1ccc(F)cc1F)c1ccccc1,-8.25
Cc1ccc(N2C(=O)C3CCNCC32)cc1Cl,-7.09
O=S(=O)(c1ccccc1)N1CCC2(CC1)Cc1ccc(C(F)(F)F)cc1C=C2c1ccc(F)cc1,-9.27
O=C(CSc1nnc(-c2ccccc2)o1)Nc1ccccc1Cl,-8.45
Oc1ccc(CC2=NCC(Cc3ccccc3)N2)cc1O,-7.27
CCCCC1CC1C(NC(=O)Cc1ccccc1C)c1ccccc1,-8.41
CCOC(=O)NNC(=O)C(N)CCNS(=O)(=O)c1cccc2cnccc12,-8.08
Cc1ncsc1CN1Cc2nc(-c3ccco3)nn2CC1(C)C,-7.52
CN(c1ccc(NS(C)(=O)=O)cc1)c1nc(Nc2cc(O)cc(C(=O)O)c2)sc1C(=O)O,-8.73
OC(COc1ccc(Cl)cc1)CN1CCN(c2ccccc2F)CC1,-6.81
CC1CN(C(=O)c2cccnc2)CC(C)O1,-6.47
O=C(O)c1ccc(NCC2COc3ccc(Nc4c5ccccc5nc5ccccc45)cc3O2)cc1O,-9.58
CC(=O)c1ccc(S(=O)(=O)N2CC(=Cc3cccc(F)c3)C(=O)C(C)(C)C2)cc1,-8.72
c1ccc(CSc2nnc(-c3ccccn3)n2Cc2cccs2)cc1,-7.79
Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,-8.5
COc1cccc(Oc2ccc(CN3CCC(c4cc(O)ncn4)(N(C)C)CC3)cc2)c1,-8.48
Cc1ccccc1CC(=O)NCc1cc(C(C)O)[nH]n1,-7.09
Cc1ccc(O)c(C(=O)NCCC2CC(OC(=O)NCc3ccccn3)CO2)c1,-7.29
N#Cc1ccccc1OCCNC1CCCC(c2cccnc2)O1,-7.38
Cc1ccc(-c2sc3cc(Br)ccc3c2C(=O)c2ccccc2)cc1,-9.42
O=C(Nc1ccc(-c2cn3c(n2)SCC3)cc1)c1c(Cl)cc(Cl)cc1Cl,-8.44
CC(=O)NCc1ccc(OCC2CCCN2C)c(C)c1,-7.1
Cc1cnn(CC2CCCN2C(=O)c2cnc3n[nH]c(C)c3c2)c1,-8.17
CCSC1=NSc2nc(=O)c(=Cc3ccc(OC)c(OC)c3)c(s2)=N1,-8.17
O=C(NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1COc2ncccc21,-6.63
CCC(=O)N1CCC2(CC1)COCCO2,-5.73
CC(C(=O)NN=Cc1cccnc1)c1ccc2c(c1)SCC2,-7.93
CC(C(=O)OC1CC2CCC(C1)N2C)c1cncc([N+](=O)[O-])c1,-8.09
CC(C)Nc1oc(-c2cccc3ccccc23)nc1C#N,-7.09
C=C(CCC(C(=O)O)C1C(O)CC2(C)C3=CCC4C(C)(C)C(OC(C)=O)CCC4(C)C3(C)CCC12C)C(C)C,-9.03
CCOC(=O)C=Cc1ccc(OC(C)C)cc1,-5.68
COc1cccc(CNc2nc(-c3ccccc3C(F)(F)F)nc3ccccc23)c1,-8.5
O=C(Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1)C1CC1,-7.38
COc1cc2nc(N3CCC(F)(F)CC3)nc(N)c2cc1OC,-6.18
Cc1nn2c(NCCO)ccnc2c1S(=O)(=O)c1ccc(I)cc1,-7.94
C=CCN(CC=C)Cc1c(CC)c2ccc(OCc3cccc(OC)c3)cc2oc1=O,-7.56
Oc1ccc(-c2cnc3[nH]cc(-c4ccccn4)c3c2)c2ccccc12,-8.56
Cc1ccc(C(=O)C=Cc2ccnc3ccccc23)cc1Cl,-8.52
Cc1c(CC(=O)NC(CCCNC(N)=O)C(=O)O)ccc2nc(N)oc12,-6.75
CN(Cc1ccc(-n2cccn2)nc1)C(=O)c1cc2c(C(F)F)cc(C(F)(F)F)cn2n1,-7.3
COc1ccc2sc(NC(P(=O)(O)O)P(=O)(O)O)nc2c1,-5.89
C=CCNc1ccc(C(=O)Nc2c(C)nn(Cc3ccc(Cl)cc3Cl)c2C)cc1,-8.77
O=C(CSc1nc2nncc-2c(O)[nH]1)N1CCCC1,-7.52
COc1ccc(C2C=C(c3cccc4ccccc34)NC(=S)N2)cc1,-8.15
CCOC(=O)C1=C(OCC)C(=O)OC1C(C)CC,-6.24
CCN(c1cccc2ncccc12)C1CCCCC1NC,-7.78
O=P(O)(O)C(NC1CCCC1)P(=O)(O)O,-5.59
CC(C)C1=CC2CC3(C=O)C4CCC(C)C4CC2(Cc2cccc(=O)[nH]2)C13C(=O)O,-9.31
CCOc1ccc(NC(=O)c2cnc3sccn3c2=O)cc1,-6.97
OC1=C2C(=Nn3nc(C(F)(F)F)nc3C2c2ccc(F)cc2)CCC1,-7.67
CN(C)CCCNCC1CCN(c2ccc3c(n2)CCCC3)CC1,-6.96
CSc1ccc(CNC(=O)c2cc3cc(Br)ccc3oc2=O)cc1,-8.23
C#Cc1ccc2c(c1)c(CCCN)c(C)n2Cc1ccccc1,-7.82
O=c1nc(OCC2COCCO2)cc2n1CCc1cc(C#Cc3cncnc3)ccc1-2,-8.37
